"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF","Total_Bathrooms","Total_porch_SF","hasPool","hasFirePlaces","has2ndFloor","GrupoPrecio"
"309",309,"1_story_1945_","RL",NA,12342,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,5,"1930_1940","1940_1950","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",262,"Unf",0,599,861,"GasA","Ex","Y","SBrkr",861,0,0,861,0,0,1,0,1,1,"TA",4,"Typ",0,"NA","Detchd",1961,"Unf",2,539,"TA","TA","Y",158,0,0,0,0,0,"NA","NA","NA",0,"3","2009","WD","Normal",82500,1722,1,158,"FALSE","FALSE",TRUE,"Barato"
"310",310,"1_story_1946_","RL",90,12378,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",9,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Gd","Unf",1274,"Unf",0,622,1896,"GasA","Ex","Y","SBrkr",1944,0,0,1944,1,0,2,0,3,1,"Ex",8,"Typ",3,"Ex","Attchd",2003,"Fin",3,708,"TA","TA","Y",208,175,0,0,0,0,"NA","NA","NA",0,"11","2006","WD","Normal",360000,3840,3,383,"FALSE","FALSE",TRUE,"Normal"
"311",311,"2_story_1946_","RL",NA,7685,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,"1990_","1990_","Gable","CompShg","HdBoard","HdBoard","BrkFace",112,"TA","TA","PConc","Gd","TA","No","Unf",518,"Unf",0,179,697,"GasA","Gd","Y","SBrkr",697,804,0,1501,0,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",1993,"Fin",2,420,"TA","TA","Y",190,63,0,0,0,0,"NA","NA","NA",0,"5","2006","WD","Normal",165600,2198,2.5,253,"FALSE","FALSE",TRUE,"Barato"
"312",312,"1_story_1946_","RL",50,8000,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,"1940_1950","1990_","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","Unf",680,"Unf",0,292,972,"GasA","Ex","Y","SBrkr",972,0,0,972,1,0,1,0,2,1,"TA",5,"Typ",1,"Gd","Detchd",1948,"Unf",1,240,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"5","2009","WD","Normal",132000,1944,2,0,"FALSE","FALSE",TRUE,"Barato"
"313",313,"2_family_conversion","RM",65,7800,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","2fmCon","1.5Fin",5,7,"1930_1940","1940_1950","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Mn","Unf",507,"Unf",0,286,793,"GasA","TA","Y","SBrkr",793,325,0,1118,1,0,1,0,3,1,"TA",5,"Typ",1,"Gd","Detchd",1939,"Unf",2,410,"TA","TA","Y",0,0,0,0,271,0,"NA","MnPrv","NA",0,"5","2006","WD","Normal",119900,1911,2,271,"FALSE","FALSE",TRUE,"Barato"
"314",314,"1_story_1946_","RL",150,215245,"Pave","NA","IR3","Low","AllPub","Inside","Sev","Timber","Norm","Norm","1Fam","1Story",7,5,"1960_1970","1960_1970","Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","Gd","TA","Gd","Rec",1236,"Rec",820,80,2136,"GasW","TA","Y","SBrkr",2036,0,0,2036,2,0,2,0,3,1,"TA",8,"Typ",2,"Gd","Attchd",1965,"RFn",2,513,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"6","2009","WD","Normal",375000,4172,4,0,"FALSE","FALSE",TRUE,"Normal"
"315",315,"2_story_1945_","RM",60,9600,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",7,7,"1920_1930","1980_1990","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","Gd","No","Unf",16,"Unf",0,712,728,"GasA","Ex","Y","SBrkr",832,809,0,1641,0,1,1,1,3,1,"Ex",6,"Typ",1,"Gd","Detchd",1925,"Unf",2,546,"Fa","TA","Y",0,0,234,0,0,0,"NA","NA","NA",0,"8","2006","WD","Normal",178000,2369,2,234,"FALSE","FALSE",TRUE,"Barato"
"316",316,"2_story_1946_","RL",71,7795,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",425,"Unf",0,291,716,"GasA","Ex","Y","SBrkr",716,716,0,1432,1,0,2,1,3,1,"Gd",6,"Typ",1,"Gd","Attchd",2004,"Fin",2,432,"TA","TA","Y",100,51,0,0,0,0,"NA","NA","NA",0,"7","2009","WD","Normal",188500,2148,3.5,151,"FALSE","FALSE",TRUE,"Barato"
"317",317,"2_story_1946_","RL",94,13005,"Pave","NA","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","Norm","Norm","1Fam","2Story",7,7,"1970_1980","1970_1980","Gable","CompShg","CemntBd","CmentBd","BrkFace",278,"Gd","TA","CBlock","Gd","TA","No","Unf",692,"Unf",0,153,845,"GasA","TA","Y","SBrkr",1153,1200,0,2353,1,0,2,1,4,1,"Ex",10,"Typ",1,"TA","Attchd",1983,"RFn",2,484,"TA","TA","Y",288,195,0,0,0,0,"NA","GdPrv","NA",0,"8","2009","WD","Normal",260000,3198,3.5,483,"FALSE","FALSE",TRUE,"Barato"
"318",318,"2_story_1946_","FV",75,9000,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1088,1088,"GasA","Ex","Y","SBrkr",1088,871,0,1959,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2006,"RFn",3,1025,"TA","TA","Y",208,46,0,0,0,0,"NA","NA","NA",0,"12","2007","WD","Normal",270000,3047,2.5,254,"FALSE","FALSE",TRUE,"Barato"
"319",319,"2_story_1946_","RL",90,9900,"Pave","NA","Reg","Low","AllPub","Inside","Mod","NoRidge","Norm","Norm","1Fam","2Story",7,5,"1990_","1990_","Gable","CompShg","HdBoard","HdBoard","BrkFace",256,"Gd","TA","PConc","Gd","TA","Gd","Unf",987,"Unf",0,360,1347,"GasA","Ex","Y","SBrkr",1372,1274,0,2646,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",1993,"RFn",3,656,"TA","TA","Y",340,60,144,0,0,0,"NA","NA","NA",0,"4","2009","WD","Normal",260000,3993,3.5,544,"FALSE","FALSE",TRUE,"Barato"
"320",320,"split_multi_level","RL",NA,14115,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","SLvl",7,5,"1970_1980","1970_1980","Gable","CompShg","Plywood","Plywood","BrkFace",225,"TA","TA","CBlock","Gd","TA","Av","Unf",1036,"Unf",0,336,1372,"GasA","TA","Y","SBrkr",1472,0,0,1472,1,0,2,0,3,1,"TA",6,"Typ",2,"TA","Attchd",1980,"Unf",2,588,"TA","TA","Y",233,48,0,0,0,0,"NA","NA","NA",0,"6","2009","WD","Normal",187500,2844,3,281,"FALSE","FALSE",TRUE,"Barato"
"321",321,"2_story_1946_","RL",111,16259,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","Stone",370,"TA","TA","PConc","Ex","Gd","Av","Unf",0,"Unf",0,1249,1249,"GasA","Ex","Y","SBrkr",1249,1347,0,2596,0,0,3,1,4,1,"Gd",9,"Typ",0,"NA","Attchd",2006,"RFn",3,840,"TA","TA","Y",240,154,0,0,0,0,"NA","NA","NA",0,"9","2006","New","Partial",342643,3845,3.5,394,"FALSE","FALSE",TRUE,"Normal"
"322",322,"2_story_1946_","RL",99,12099,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","BrkFace",388,"Gd","TA","PConc","Ex","TA","Av","Unf",970,"Unf",0,166,1136,"GasA","Ex","Y","SBrkr",1136,1332,0,2468,1,0,2,1,4,1,"Gd",10,"Typ",1,"Gd","BuiltIn",2004,"Fin",3,872,"TA","TA","Y",184,154,0,0,0,0,"NA","NA","NA",0,"6","2007","WD","Normal",354000,3604,3.5,338,"FALSE","FALSE",TRUE,"Normal"
"323",323,"2_story_1946_","RL",86,10380,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,"1980_1990","1980_1990","Gable","CompShg","Plywood","Plywood","BrkFace",172,"Gd","TA","CBlock","TA","TA","Gd","ALQ",28,"ALQ",1474,0,1502,"GasA","Ex","Y","SBrkr",1553,1177,0,2730,1,0,2,1,4,1,"Gd",8,"Typ",1,"TA","Attchd",1987,"Fin",2,576,"TA","TA","Y",201,96,0,0,0,0,"NA","MnPrv","NA",0,"8","2007","WD","Normal",301000,4232,3.5,297,"FALSE","FALSE",TRUE,"Normal"
"324",324,"1_story_1946_","RM",49,5820,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",3,8,"1950_1960","1990_","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","Unf",256,"Unf",0,906,1162,"GasA","Ex","Y","SBrkr",1163,0,0,1163,1,0,1,0,3,1,"TA",6,"Typ",0,"NA","Attchd",1955,"Unf",1,220,"Fa","TA","Y",142,98,0,0,0,0,"NA","NA","NA",0,"7","2006","WD","Normal",126175,2325,2,240,"FALSE","FALSE",TRUE,"Barato"
"325",325,"split_multi_level","RL",96,11275,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","NAmes","PosN","Norm","1Fam","SLvl",7,7,"1960_1970","1990_","Mansard","WdShake","Wd Sdng","Wd Sdng","BrkFace",300,"Gd","Gd","CBlock","Gd","TA","No","Unf",0,"Unf",0,710,710,"GasA","Ex","Y","SBrkr",1898,1080,0,2978,0,0,2,1,5,1,"Gd",11,"Typ",1,"Gd","BuiltIn",1961,"Fin",2,564,"TA","TA","Y",240,0,0,0,0,0,"NA","NA","NA",0,"6","2010","WD","Normal",242000,3688,2.5,240,"FALSE","FALSE",TRUE,"Barato"
"326",326,"1_5_story_unf","RM",50,5000,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","RRAe","Norm","1Fam","1.5Unf",5,6,"1940_1950","1940_1950","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Av","Unf",116,"Unf",0,604,720,"GasA","Po","N","FuseF",803,0,0,803,0,0,1,0,2,1,"TA",5,"Typ",0,"NA","Detchd",1941,"Unf",2,360,"TA","TA","Y",0,0,244,0,0,0,"NA","NA","NA",0,"12","2007","WD","Normal",87000,1523,1,244,"FALSE","FALSE",TRUE,"Barato"
"327",327,"1_story_PUD_1946_","RL",32,10846,"Pave","NA","IR1","Lvl","AllPub","CulDSac","Gtl","Veenker","Norm","Norm","TwnhsE","1Story",8,5,"1990_","1990_","Gable","CompShg","BrkFace","BrkFace","None",0,"Gd","TA","PConc","Gd","TA","Gd","Unf",1619,"Unf",0,100,1719,"GasA","Ex","Y","SBrkr",1719,0,0,1719,2,0,1,1,1,1,"Gd",6,"Typ",2,"Gd","Attchd",1993,"Fin",2,473,"TA","TA","Y",122,30,0,0,0,0,"NA","NA","NA",0,"5","2008","Con","Normal",324000,3438,3.5,152,"FALSE","FALSE",TRUE,"Normal"
"328",328,"1_story_1946_","RL",80,11600,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,"1950_1960","1950_1960","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",175,"TA","TA","CBlock","TA","TA","No","Unf",565,"Unf",0,818,1383,"GasA","TA","Y","SBrkr",1383,0,0,1383,0,0,1,1,3,1,"TA",7,"Typ",0,"NA","Attchd",1960,"RFn",1,292,"TA","TA","Y",0,45,0,0,0,0,"NA","NA","NA",0,"4","2006","WD","Normal",145250,2766,1.5,45,"FALSE","FALSE",TRUE,"Barato"
"329",329,"2_5_story_all_ages","RL",NA,11888,"Pave","Pave","IR1","Bnk","AllPub","Inside","Gtl","BrkSide","PosN","Norm","1Fam","2.5Unf",6,6,"1910_1920","1990_","Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,844,844,"GasA","Gd","N","FuseA",1445,689,0,2134,0,0,2,0,5,1,"Gd",10,"Typ",0,"NA","Detchd",1930,"Unf",2,441,"TA","TA","Y",0,60,268,0,0,0,"NA","NA","NA",0,"7","2009","WD","Normal",214500,2978,2,328,"FALSE","FALSE",TRUE,"Barato"
"330",330,"2_story_1945_","RM",60,6402,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","IDOTRR","Norm","Norm","1Fam","2Story",5,5,"1910_1920","1940_1950","Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","PConc","TA","TA","Mn","Unf",0,"Unf",0,596,596,"GasA","TA","N","SBrkr",596,596,0,1192,0,0,1,0,3,1,"TA",6,"Typ",0,"NA","Detchd",1920,"Unf",1,189,"Fa","Fa","N",0,0,137,0,0,0,"NA","GdWo","NA",0,"7","2009","WD","Normal",78000,1788,1,137,"FALSE","FALSE",TRUE,"Barato"
"331",331,"duplex_all_style_age","RL",NA,10624,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","Duplex","1Story",5,4,"1960_1970","1960_1970","Gable","CompShg","HdBoard","HdBoard","BrkFace",84,"TA","TA","CBlock","TA","TA","No","Rec",40,"Rec",264,1424,1728,"GasA","TA","Y","SBrkr",1728,0,0,1728,0,1,2,0,6,2,"TA",10,"Typ",0,"NA","Detchd",2002,"Unf",1,352,"TA","TA","Y",155,0,0,0,0,0,"NA","NA","NA",0,"11","2007","WD","Normal",119000,3456,2.5,155,"FALSE","FALSE",TRUE,"Barato"
"332",332,"1_story_1946_","RL",70,8176,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,"1950_1960","1990_","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Unf",846,"Unf",0,210,1056,"GasA","Fa","Y","SBrkr",1056,0,0,1056,1,0,1,0,3,1,"TA",6,"Typ",0,"NA","Attchd",1958,"RFn",1,308,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"8","2007","WD","Normal",139000,2112,2,0,"FALSE","FALSE",TRUE,"Barato"
"333",333,"1_story_1946_","RL",85,10655,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","BrkFace",296,"Gd","TA","PConc","Gd","TA","No","NA",1124,"NA",479,1603,3206,"GasA","Ex","Y","SBrkr",1629,0,0,1629,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2003,"RFn",3,880,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"10","2009","WD","Normal",284000,4835,3,0,"FALSE","FALSE",TRUE,"Normal"
"334",334,"1_story_PUD_1946_","RM",59,8198,"Pave","NA","Reg","Lvl","AllPub","FR3","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",7,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","Stone",146,"Gd","TA","PConc","Gd","TA","Av","Unf",720,"Unf",0,638,1358,"GasA","Ex","Y","SBrkr",1358,0,0,1358,1,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2004,"RFn",2,484,"TA","TA","Y",192,30,0,0,0,0,"NA","NA","NA",0,"7","2008","WD","Normal",207000,2716,3,222,"FALSE","FALSE",TRUE,"Barato"
"335",335,"2_story_1946_","RL",59,9042,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Gd","Unf",828,"Unf",0,115,943,"GasA","Gd","Y","SBrkr",943,695,0,1638,1,0,2,1,3,1,"TA",7,"Typ",2,"TA","Attchd",1998,"Fin",2,472,"TA","TA","Y",100,38,0,0,0,0,"NA","NA","NA",0,"7","2008","WD","Normal",192000,2581,3.5,138,"FALSE","FALSE",TRUE,"Barato"
"336",336,"2_family_conversion","RL",NA,164660,"Grvl","NA","IR1","HLS","AllPub","Corner","Sev","Timber","Norm","Norm","2fmCon","1.5Fin",5,6,"1960_1970","1960_1970","Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",1249,"BLQ",147,103,1499,"GasA","Ex","Y","SBrkr",1619,167,0,1786,2,0,2,0,3,1,"TA",7,"Typ",2,"Gd","Attchd",1965,"Fin",2,529,"TA","TA","Y",670,0,0,0,0,0,"NA","NA","Shed",700,"8","2008","WD","Normal",228950,3285,4,670,"FALSE","FALSE",TRUE,"Barato"
"337",337,"1_story_1946_","RL",86,14157,"Pave","NA","IR1","HLS","AllPub","Corner","Gtl","StoneBr","Norm","Norm","1Fam","1Story",9,5,"1990_","1990_","Hip","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","Gd","Unf",1249,"Unf",0,673,1922,"GasA","Ex","Y","SBrkr",1922,0,0,1922,1,0,2,0,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2005,"Fin",3,676,"TA","TA","Y",178,51,0,0,0,0,"NA","NA","NA",0,"7","2007","WD","Normal",377426,3844,3,229,"FALSE","FALSE",TRUE,"Normal"
"338",338,"1_story_1946_","RL",70,9135,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","BrkFace",113,"Gd","TA","PConc","Gd","TA","Av","Unf",810,"Unf",0,726,1536,"GasA","Ex","Y","SBrkr",1536,0,0,1536,1,0,2,0,3,1,"Gd",7,"Typ",0,"NA","Attchd",2002,"RFn",2,532,"TA","TA","Y",192,74,0,0,0,0,"NA","NA","NA",0,"12","2008","WD","Normal",214000,3072,3,266,"FALSE","FALSE",TRUE,"Barato"
"339",339,"1_story_1946_","RL",91,14145,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","NWAmes","Norm","Norm","1Fam","1Story",7,7,"1980_1990","1990_","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","CBlock","Gd","TA","Mn","Unf",213,"Unf",0,995,1208,"GasA","Ex","Y","SBrkr",1621,0,0,1621,1,0,2,0,3,1,"Gd",8,"Typ",0,"NA","Attchd",1984,"RFn",2,440,"TA","TA","Y",108,45,0,0,0,0,"NA","NA","Shed",400,"5","2006","WD","Normal",202500,2829,3,153,"FALSE","FALSE",TRUE,"Barato"
"340",340,"1_story_1946_","RL",66,12400,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Feedr","Norm","1Fam","1Story",6,7,"1950_1960","1990_","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",176,"TA","TA","CBlock","TA","Fa","No","Unf",585,"Unf",0,630,1215,"GasA","TA","Y","FuseA",1215,0,0,1215,0,0,1,0,3,1,"TA",6,"Typ",0,"NA","Attchd",1958,"Unf",1,297,"TA","TA","Y",0,0,0,0,234,0,"NA","NA","NA",0,"6","2009","WD","Normal",155000,2430,1,234,"FALSE","FALSE",TRUE,"Barato"
"341",341,"2_story_1946_","RL",85,14191,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","2Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,967,967,"GasA","Ex","Y","SBrkr",993,915,0,1908,0,0,2,1,4,1,"Gd",9,"Typ",0,"NA","Attchd",2002,"Fin",2,431,"TA","TA","Y",135,0,0,0,0,0,"NA","NA","NA",0,"4","2010","WD","Normal",202900,2875,2.5,135,"FALSE","FALSE",TRUE,"Barato"
"342",342,"1_story_1946_","RH",60,8400,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Feedr","Norm","1Fam","1Story",4,4,"1940_1950","1940_1950","Gable","CompShg","Wd Sdng","AsbShng","None",0,"Fa","Fa","CBlock","TA","Fa","No","Unf",0,"Unf",0,721,721,"GasA","Gd","Y","SBrkr",841,0,0,841,0,0,1,0,2,1,"TA",4,"Typ",0,"NA","CarPort",1950,"Unf",1,294,"TA","TA","N",250,0,24,0,0,0,"NA","NA","NA",0,"9","2009","WD","Normal",82000,1562,1,274,"FALSE","FALSE",TRUE,"Barato"
"343",343,"duplex_all_style_age","RL",NA,8544,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","Duplex","1Story",3,4,"1940_1950","1940_1950","Gable","CompShg","Stucco","Stucco","BrkFace",340,"TA","TA","Slab","NA","NA","NA","NA",0,"NA",0,0,0,"Wall","Fa","N","FuseA",1040,0,0,1040,0,0,2,0,2,2,"TA",6,"Typ",0,"NA","Detchd",1949,"Unf",2,400,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"5","2006","WD","Normal",87500,1040,2,0,"FALSE","FALSE",TRUE,"Barato"
"344",344,"1_story_PUD_1946_","RL",63,8849,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,"1990_","1990_","Hip","CompShg","MetalSd","MetalSd","BrkFace",616,"Ex","TA","PConc","Ex","TA","No","Unf",28,"Unf",0,1656,1684,"GasA","Ex","Y","SBrkr",1684,0,0,1684,0,0,2,0,2,1,"Ex",6,"Typ",1,"Ex","Attchd",2005,"RFn",2,564,"TA","TA","Y",495,72,0,0,0,0,"NA","NA","NA",0,"7","2008","WD","Normal",266000,3368,2,567,"FALSE","FALSE",TRUE,"Barato"
"345",345,"2_story_PUD_1946","RM",36,2592,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","2Story",5,3,"1970_1980","1970_1980","Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","CBlock","Gd","TA","No","BLQ",129,"BLQ",232,175,536,"GasA","TA","Y","SBrkr",536,576,0,1112,0,0,1,1,3,1,"TA",4,"Typ",0,"NA","Attchd",1976,"Unf",1,336,"TA","TA","Y",182,0,0,0,0,0,"NA","NA","NA",0,"4","2010","WD","Normal",85000,1648,1.5,182,"FALSE","FALSE",TRUE,"Barato"
"346",346,"1_5 story_fin","RL",65,6435,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","RRAn","Norm","1Fam","1.5Fin",6,5,"1930_1940","1940_1950","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,972,972,"GasA","Gd","Y","SBrkr",972,605,0,1577,0,0,1,0,3,1,"Fa",6,"Typ",1,"Gd","Detchd",1939,"Unf",1,312,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"10","2006","WD","Normal",140200,2549,1,0,"FALSE","FALSE",TRUE,"Barato"
"347",347,"1_story_1946_","RL",NA,12772,"Pave","NA","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,8,"1950_1960","1990_","Hip","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","Mn","Unf",498,"Unf",0,460,958,"GasA","TA","Y","SBrkr",958,0,0,958,0,0,1,0,2,1,"TA",5,"Typ",0,"NA","Attchd",1960,"RFn",1,301,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","Gar2",15500,"4","2007","WD","Normal",151500,1916,1,0,"FALSE","FALSE",TRUE,"Barato"
"348",348,"1_story_1946_","RL",NA,17600,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,"1950_1960","1950_1960","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",30,"TA","TA","CBlock","TA","TA","No","Unf",1270,"Unf",0,208,1478,"GasA","Ex","Y","FuseA",1478,0,0,1478,1,0,2,0,3,1,"TA",6,"Typ",2,"Gd","Attchd",1960,"Unf",2,498,"TA","TA","Y",0,40,0,0,0,0,"NA","NA","NA",0,"12","2009","WD","Normal",157500,2956,3,40,"FALSE","FALSE",TRUE,"Barato"
"349",349,"2_story_PUD_1946","RL",36,2448,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","2Story",7,5,"1990_","1990_","Gable","CompShg","VinylSd","Wd Shng","Stone",106,"Gd","TA","PConc","Gd","TA","No","Unf",573,"Unf",0,191,764,"GasA","Ex","Y","SBrkr",764,862,0,1626,1,0,2,1,2,1,"Gd",6,"Typ",0,"NA","BuiltIn",2003,"RFn",2,474,"TA","TA","Y",0,27,0,0,0,0,"NA","NA","NA",0,"10","2008","WD","Normal",154000,2390,3.5,27,"FALSE","FALSE",TRUE,"Barato"
"350",350,"2_story_1946_","RL",56,20431,"Pave","NA","IR2","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,"1990_","1990_","Hip","CompShg","CemntBd","CmentBd","BrkFace",870,"Ex","TA","PConc","Ex","TA","No","Unf",1410,"Unf",0,438,1848,"GasA","Ex","Y","SBrkr",1848,880,0,2728,1,0,2,1,4,1,"Ex",10,"Typ",2,"Ex","Attchd",2006,"Fin",3,706,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"4","2006","New","Partial",437154,4576,3.5,0,"FALSE","FALSE",TRUE,"Normal"
